Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Item_Type_Combined,Years_Established
9.3,Low Fat,0.016047301,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,3735.138,train,Food,22
5.92,Regular,0.019278216,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,443.4228,train,Drinks,12
17.5,Low Fat,0.016760075,Meat,141.618,Medium,Tier 1,Supermarket Type1,2097.27,train,Food,22
19.2,Regular,0.0,Fruits and Vegetables,182.095,Small,Tier 3,Grocery Store,732.38,train,Food,23
8.93,Not Applicable,0.0,Household,53.8614,High,Tier 3,Supermarket Type1,994.7052,train,Non-Consumable,34
10.395,Regular,0.0,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,556.6088,train,Food,12
13.65,Regular,0.012741089,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,343.5528,train,Food,34
19.0,Low Fat,0.127469857,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,4022.7636,train,Food,36
16.2,Regular,0.016687114,Frozen Foods,96.9726,Small,Tier 2,Supermarket Type1,1076.5986,train,Food,19
19.2,Regular,0.09444959,Frozen Foods,187.8214,Small,Tier 2,Supermarket Type1,4710.535,train,Food,14
11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,1516.0266,train,Food,22
18.5,Regular,0.045463773,Dairy,144.1102,Small,Tier 1,Supermarket Type1,2187.153,train,Food,24
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,1589.2646,train,Food,22
17.6,Regular,0.047257328,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,2145.2076,train,Food,24
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,1977.426,train,Food,34
9.0,Regular,0.069088961,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,1547.3192,train,Food,24
11.8,Not Applicable,0.008596051,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,1621.8888,train,Non-Consumable,12
9.0,Regular,0.069196376,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,718.3982,train,Food,22
8.26,Low Fat,0.034237682,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,2303.668,train,Drinks,36
13.35,Low Fat,0.10249212,Dairy,230.5352,Small,Tier 2,Supermarket Type1,2748.4224,train,Food,17
18.85,Regular,0.138190277,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,3775.086,train,Food,34
8.315,Regular,0.035399923,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,4064.0432,train,Food,36
14.6,Not Applicable,0.025698134,Household,196.5084,Small,Tier 2,Supermarket Type1,1587.2672,train,Non-Consumable,17
15.5,Low Fat,0.057556998,Baking Goods,107.6938,Small,Tier 1,Grocery Store,214.3876,train,Food,36
13.85,Regular,0.025896485,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,4078.025,train,Food,24
13.0,Not Applicable,0.099887103,Household,45.906,Small,Tier 2,Supermarket Type1,838.908,train,Non-Consumable,14
7.645,Regular,0.066693437,Snack Foods,42.3112,Small,Tier 2,Supermarket Type1,1065.28,train,Food,17
11.65,Low Fat,0.019356132,Hard Drinks,39.1164,High,Tier 3,Supermarket Type1,308.9312,train,Drinks,34
5.925,Regular,0.161466534,Dairy,45.5086,Small,Tier 3,Grocery Store,178.4344,train,Food,23
14.5,Regular,0.072221801,Canned,43.6454,Small,Tier 1,Grocery Store,125.8362,train,Food,36
19.25,Low Fat,0.170348551,Dairy,55.7956,Small,Tier 3,Grocery Store,163.7868,train,Food,23
18.6,Not Applicable,0.080829372,Health and Hygiene,96.4436,Medium,Tier 3,Supermarket Type2,2741.7644,train,Non-Consumable,12
18.7,Low Fat,0.0,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,3068.0064,train,Food,12
17.85,Low Fat,0.0,Breads,93.1436,Small,Tier 2,Supermarket Type1,2174.5028,train,Food,19
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,2085.2856,train,Drinks,24
10.0,Not Applicable,0.089291137,Health and Hygiene,146.7102,Medium,Tier 1,Supermarket Type1,3791.0652,train,Non-Consumable,22
20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,Medium,Tier 3,Supermarket Type3,2797.6916,train,Food,36
8.85,Regular,0.113123893,Soft Drinks,122.5388,Medium,Tier 3,Supermarket Type2,1609.9044,train,Drinks,12
6.385,Regular,0.123111453,Snack Foods,36.9874,Medium,Tier 3,Supermarket Type3,388.1614,train,Food,36
15.25,Low Fat,0.026480954,Snack Foods,87.6198,Medium,Tier 3,Supermarket Type3,2180.495,train,Food,36
13.35,Low Fat,0.102511504,Dairy,230.6352,Small,Tier 1,Supermarket Type1,3435.528,train,Food,24
9.8,Low Fat,0.02681843,Meat,126.002,High,Tier 3,Supermarket Type1,2150.534,train,Food,34
13.6,Low Fat,0.117818348,Snack Foods,192.9136,Medium,Tier 1,Supermarket Type1,2527.3768,train,Food,22
21.35,Low Fat,0.069102831,Canned,259.9278,Medium,Tier 3,Supermarket Type2,6768.5228,train,Food,12
12.15,Regular,0.042277867,Canned,126.5046,High,Tier 3,Supermarket Type1,373.5138,train,Food,34
6.42,Low Fat,0.089498926,Dairy,178.1002,Small,Tier 3,Grocery Store,358.2004,train,Food,23
19.6,Not Applicable,0.0,Health and Hygiene,153.3024,Small,Tier 2,Supermarket Type1,2428.8384,train,Non-Consumable,19
10.0,Low Fat,0.025879577,Canned,265.2226,Small,Tier 2,Supermarket Type1,5815.0972,train,Food,19
15.85,Regular,0.121632721,Baking Goods,60.622,Small,Tier 1,Supermarket Type1,2576.646,train,Food,24
10.195,Regular,0.255394896,Dairy,196.8794,Small,Tier 1,Grocery Store,780.3176,train,Food,36
7.39,Not Applicable,0.067779712,Health and Hygiene,143.8812,Small,Tier 1,Supermarket Type1,3134.5864,train,Non-Consumable,24
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,High,Tier 3,Supermarket Type1,850.8924,train,Food,34
9.895,Regular,0.028696932,Canned,117.0492,High,Tier 3,Supermarket Type1,810.9444,train,Food,34
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,Small,Tier 2,Supermarket Type1,3121.2704,train,Food,14
