Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1658.2540262182251
FDW14,OUT017,1424.031698502328
NCN55,OUT010,763.6941749078477
FDQ58,OUT017,2465.4566610538577
FDY38,OUT027,6032.376696561072
FDH56,OUT046,1791.5146403145309
FDL48,OUT018,636.3111600654532
FDC48,OUT027,2092.087762517239
FDN33,OUT045,1545.4268463515389
FDA36,OUT017,3074.844962203691
FDT44,OUT017,1937.9748630648078
FDQ56,OUT045,1333.7145227060826
NCC54,OUT019,658.6131425381589
FDU11,OUT049,2074.807038014905
DRL59,OUT013,833.7505105753721
FDM24,OUT049,2426.914915431017
FDI57,OUT045,3233.994177849883
DRC12,OUT018,2948.77454152521
NCM42,OUT027,2625.680409849227
FDA46,OUT010,556.0341967351451
FDA31,OUT013,2803.3946094421863
NCJ31,OUT035,3792.22730356079
FDG52,OUT046,744.89699910781
NCL19,OUT019,431.4635384460703
FDS10,OUT035,2988.7065058865305
FDX22,OUT010,846.4630925081391
NCF19,OUT035,821.5911627723997
NCE06,OUT046,2582.3732536998286
DRC27,OUT046,3732.621868019596
FDE21,OUT035,1959.593135181327
NCR42,OUT019,138.68724647179272
FDX51,OUT018,2934.815865328629
NCR06,OUT018,554.6508241651472
FDU31,OUT027,5422.0411530199735
FDU59,OUT017,2636.781901511892
FDR03,OUT027,5816.522733042938
FDS49,OUT027,2185.723550319477
FDD48,OUT010,588.2375671264261
NCF18,OUT017,3137.7915470160706
NCD43,OUT027,2496.378937307004
NCD54,OUT018,1814.479825989702
FDY19,OUT010,569.7549529102173
NCY54,OUT017,2818.36079460892
NCL19,OUT018,2090.2494561526637
FDP23,OUT010,652.393011806514
FDC26,OUT013,1851.059966323351
FDR14,OUT010,187.91076665296103
NCS41,OUT035,3187.9067723696435
FDF41,OUT035,3837.7568264758197
FDU34,OUT046,1931.073269080021
DRH11,OUT046,871.7053860546686
FDM03,OUT013,1660.0833842318787
FDS31,OUT017,3058.2369362483305
FDJ20,OUT017,2042.2648545614359
FDV44,OUT027,5215.579376813776
FDG02,OUT049,3147.2207745719347
FDA09,OUT013,3034.634449663186
FDT04,OUT013,698.1870833556446
FDL58,OUT019,712.5512209437802
FDE52,OUT045,1404.0370311454428
FDW12,OUT035,2462.2745881363753
FDL51,OUT017,3601.1032517009703
NCY42,OUT027,3315.397018384766
FDR07,OUT017,1756.2682223595152
FDN40,OUT045,2324.4491129700386
FDB35,OUT027,2386.0070502741764
FDA22,OUT017,2820.5199711542728
NCL06,OUT046,4150.28826765387
FDI35,OUT013,3125.9527778530855
NCW42,OUT045,3810.3416211007057
NCX06,OUT049,2973.5912046708936
FDC37,OUT027,2586.095133858214
FDZ14,OUT018,1592.5022002914384
DRG49,OUT049,4365.0141926348615
NCG06,OUT045,3987.379645148929
DRC36,OUT045,2852.49770219444
FDV21,OUT019,362.29450870936705
FDB53,OUT046,2312.75479956826
DRP47,OUT019,703.4421727649245
FDA14,OUT013,2364.205384747978
DRC24,OUT035,2468.769737881589
FDW21,OUT018,1357.4076395297989
NCH29,OUT046,1563.529956234407
FDU58,OUT013,3088.4858450964903
FDY27,OUT017,2819.472932899621
FDV56,OUT035,1777.774392238913
FDT59,OUT046,3852.400838183625
FDB23,OUT046,3669.541109462928
FDR49,OUT045,778.8551943695247
FDB03,OUT010,702.3801445850796
FDN39,OUT045,2700.8390899364904
FDX02,OUT027,5944.364386568987
FDQ16,OUT027,2582.4630390405864
FDU35,OUT018,1290.9096942666263
NCT29,OUT013,2044.6612720437638
FDZ27,OUT046,739.9788673039109
FDN57,OUT017,2173.4260710745302
FDA03,OUT018,2053.07130591717
FDZ36,OUT045,3083.45395017952
NCU05,OUT013,1267.115173951061
FDT39,OUT018,2072.7418913306437
FDK60,OUT017,1657.3515637268983
FDZ25,OUT017,2902.5928442949116
FDG12,OUT046,1970.625091634253
DRB01,OUT019,506.7803333646433
NCC43,OUT027,6135.386325546471
FDX13,OUT019,924.2742176298076
FDM22,OUT049,903.0411574507222
FDJ03,OUT027,1319.330661415633
FDU14,OUT018,3643.903473022207
FDB33,OUT010,563.0581904750973
FDP27,OUT046,2960.6016630906597
FDO38,OUT010,488.1884932248463
FDE28,OUT027,5987.069272519708
FDO27,OUT035,1647.1641809491814
DRL23,OUT027,2488.695700492384
FDS28,OUT046,872.6780140512145
FDX24,OUT013,1481.262305745196
FDZ02,OUT035,1651.3876702251323
FDL46,OUT045,1742.474154973919
FDS60,OUT027,5034.843574988562
NCO06,OUT017,729.812093148848
FDO16,OUT035,1461.0544152686807
FDC60,OUT049,1385.703127116767
FDA48,OUT018,3059.589574494129
FDZ36,OUT027,4893.9115748218555
FDK27,OUT045,1974.951918340092
FDW23,OUT018,534.1698930305156
FDM14,OUT018,1399.3912963216756
FDM14,OUT013,1691.8098010746114
FDW60,OUT018,2655.3593524062235
FDE21,OUT013,1924.021889646868
NCM42,OUT035,1780.061905047303
FDY59,OUT010,555.8597602105475
DRI49,OUT049,1295.3090360675556
FDT28,OUT019,422.38845051511754
FDQ22,OUT018,546.4849091877059
FDR60,OUT049,1269.7858161702366
FDC50,OUT019,354.4144910230604
FDV24,OUT013,2341.812409861434
DRF48,OUT010,653.5941307806754
FDQ47,OUT046,686.6700960165778
DRN36,OUT049,1589.9909824290633
NCY06,OUT035,2106.0448547419023
FDE52,OUT035,1496.1679979902717
NCB54,OUT045,2011.7618632288666
NCF31,OUT035,2456.7945100751617
FDJ08,OUT027,5024.746965837615
NCC07,OUT017,1755.7720034229058
NCD19,OUT027,1656.1002748915328
FDL46,OUT049,1954.4065316427038
FDM20,OUT045,3929.5556846925315
NCI06,OUT010,407.84312869746975
DRM11,OUT035,4231.443476420831
NCH07,OUT018,2271.561757242919
FDS23,OUT013,2087.8634048903286
FDO49,OUT018,647.8268899652137
FDS35,OUT049,1063.2305068601152
DRK39,OUT045,1257.0186061725583
DRI39,OUT049,905.1826865347641
FDV04,OUT017,2538.269359337672
NCN14,OUT035,3069.7106645764443
FDH08,OUT013,4184.055410954004
FDS20,OUT046,3054.9501244370704
FDV40,OUT049,1178.915423368418
FDZ48,OUT010,580.1747439763777
FDS24,OUT027,2243.249390425867
FDK44,OUT049,2869.8139198139534
FDS48,OUT045,2440.2065532026427
FDK26,OUT010,653.4088780312476
FDD23,OUT045,3190.4858862231463
NCH54,OUT017,2762.8633965798062
NCP14,OUT010,572.5648792982073
FDM60,OUT010,95.10721439074051
FDV24,OUT017,2393.257535409402
FDH08,OUT018,3383.0934364285267
FDS12,OUT027,3441.2263026921696
FDR39,OUT027,4654.470537495433
FDP12,OUT027,1058.3486911835353
DRF60,OUT027,6386.032166141722
FDC09,OUT035,1755.2460827427876
FDF50,OUT018,2934.6890147879094
FDG28,OUT035,4110.6966916933225
